10,644,0.001
12,32,0.0
15,37468,0.035
10,212,0.0
7,39,0.0
2,4,0.0
18,2396779,7.977
12,130,0.0
11,81,0.0
9,16,0.0
14,37619,0.034
10,94,0.0
6,13,0.0
15,27094,0.025
10,55,0.0
6,26,0.0
3,5,0.0
9,183,0.0
8,84,0.001
12,1226,0.001
8,166,0.0
14,37619,0.038
16,18963,0.016
12,5734,0.004
4,17,0.0
11,92,0.0
2,4,0.0
13,90,0.0
16,18956,0.014
9,281,0.0
4,6,0.0
15,9395,0.008
13,169,0.0
15,155718,0.18
5,17,0.0
12,664,0.0
0,1,0.0
13,184,0.0
6,21,0.0
12,98,0.0
11,50,0.001
11,23,0.0
14,32497,0.026
10,54,0.0
12,269,0.0
8,78,0.0
6,43,0.0
3,10,0.0
11,318,0.0
8,83,0.0
13,37492,0.032
10,171,0.0
13,5626,0.004
10,169,0.307
9,192,0.0
7,51,0.0
10,333,0.0
15,4706,0.002
9,48,0.001
2,5,0.0
13,623,0.0
9,192,0.0
10,2345,0.002
10,77,0.0
13,307,0.0
13,332,0.0
12,11145,0.008
14,4701,0.003
7,14,0.0
3,8,0.0
9,1181,0.001
10,310,0.0
5,22,0.0
